property_id,micro_market,sector,latitude,longitude,distance_to_center_km,rooms,floor_area_m2,quality_score,building_age_years,amenity_density,local_tax_rate,income_zone_rating,transit_proximity_score,green_space_ratio,crime_index,school_rating,noise_level_db,energy_label,parking_available,has_balcony,last_renovation_year,valuation_eur
PROP-00025,South,Social Rental,52.346919,4.885603,2.77,3,74.8,0.5321,3,0.7963,0.003973,3,0.5896,0.1378,0.3775,7.6,50.5,1,1,0,2024,360200.0
PROP-00026,South,Social Rental,52.357759,4.905123,1.76,3,82.9,0.3561,120,0.7511,0.004128,4,0.717,0.2427,0.1254,5.0,44.2,7,1,0,1909,284900.0
PROP-00027,South,Social Rental,52.333079,4.893597,4.1,2,53.2,0.6686,79,0.8235,0.004001,4,0.411,0.0293,0.0,6.3,55.3,4,0,1,1951,295500.0
PROP-00028,South,Social Rental,52.329148,4.869165,5.37,4,112.2,0.7602,27,0.6384,0.00389,4,0.3383,0.3732,0.3646,6.1,56.6,4,1,1,1998,433300.0
PROP-00029,East,Private Rental,52.375453,4.934132,4.39,3,70.5,0.9083,17,0.6219,0.004006,4,0.4845,0.2671,0.2895,2.2,55.7,2,0,1,2011,490200.0
PROP-00030,East,Home Ownership,52.37425,4.957387,6.94,5,117.8,0.1517,11,0.7708,0.004121,3,0.2153,0.493,0.1366,4.9,54.5,4,0,0,2024,425100.0
PROP-00031,North,Social Rental,52.403372,4.877983,4.16,3,96.1,0.9473,4,0.6457,0.003539,3,0.5528,0.4722,0.2369,3.3,57.1,2,0,1,2024,320900.0
PROP-00032,East,Home Ownership,52.395464,4.949431,6.67,4,131.2,0.0548,12,0.4643,0.003931,4,0.2932,0.1772,0.0097,5.1,49.3,2,1,0,2024,405900.0
PROP-00033,East,Private Rental,52.361773,4.920083,2.93,2,62.7,0.9984,20,0.6481,0.004059,3,0.5764,0.218,0.1861,4.7,45.2,4,1,1,2009,486300.0
PROP-00034,South,Private Rental,52.341277,4.885217,3.37,5,143.8,0.6867,9,0.751,0.004179,4,0.5017,0.2866,0.1786,5.2,45.9,2,1,1,2024,709500.0
PROP-00035,South,Private Rental,52.337116,4.873253,4.38,4,98.8,0.9278,53,0.8293,0.004378,4,0.4856,0.1123,0.2859,6.0,49.6,4,1,1,1974,650600.0
PROP-00036,East,Social Rental,52.377588,4.908438,1.71,5,158.1,0.7636,4,0.7277,0.003991,3,0.9205,0.6233,0.2707,4.6,45.1,3,0,1,2021,447200.0
PROP-00037,North,Social Rental,52.40235,4.892389,3.6,2,70.5,0.5542,31,0.5286,0.004,3,0.3656,0.2081,0.135,4.5,56.3,3,0,1,1997,213600.0
PROP-00038,West,Social Rental,52.366291,4.850331,4.98,3,86.0,0.6637,82,0.6486,0.003344,3,0.3122,0.0466,0.3135,4.7,56.9,3,0,1,1953,269800.0
PROP-00039,West,Social Rental,52.382589,4.857506,4.39,2,48.2,0.5902,13,0.6497,0.003853,2,0.4892,0.3916,0.2622,6.9,60.5,3,1,1,2024,279300.0
PROP-00040,West,Social Rental,52.38051,4.854733,4.62,2,72.6,0.6974,10,0.6903,0.003776,3,0.5112,0.0892,0.2551,3.7,64.5,4,1,1,2021,300800.0
PROP-00041,East,Social Rental,52.368205,4.956013,6.78,2,47.0,0.0244,61,0.7352,0.003845,4,0.383,0.2456,0.1365,7.7,71.2,4,1,1,1966,195400.0
PROP-00042,Center,Social Rental,52.363726,4.860194,3.93,4,120.0,0.2183,89,0.9067,0.004252,5,0.4429,0.4751,0.3545,4.6,53.4,4,1,1,1950,349800.0
PROP-00043,North,Social Rental,52.417046,4.899727,5.25,4,95.6,0.1539,50,0.3287,0.003964,4,0.2827,0.3418,0.2443,5.0,60.8,3,1,1,1977,217800.0
PROP-00044,Center,Social Rental,52.394122,4.907506,3.02,2,54.2,0.8512,20,1.0,0.004603,5,0.5098,0.0541,0.2155,7.4,53.5,4,0,0,2016,401400.0
PROP-00045,West,Home Ownership,52.391586,4.851677,5.37,3,64.4,0.8809,61,0.6117,0.004162,3,0.3653,0.241,0.1984,7.2,57.3,6,1,1,1970,521100.0
PROP-00046,West,Social Rental,52.381456,4.840863,6.14,2,49.7,0.6326,80,0.6327,0.003744,3,0.1959,0.3262,0.0,6.7,53.4,7,0,0,1957,214500.0
PROP-00047,Center,Home Ownership,52.371534,4.923179,3.13,4,137.5,0.4459,9,0.8042,0.00384,4,0.5582,0.1468,0.245,7.4,46.8,2,1,0,2016,845700.0
PROP-00048,South,Private Rental,52.33881,4.896162,3.46,3,90.3,0.6066,1,0.856,0.004097,4,0.564,0.3405,0.1474,7.3,57.7,3,0,0,2024,525500.0
PROP-00049,East,Home Ownership,52.363923,4.965922,7.9,3,81.9,0.1252,34,0.5355,0.004038,3,0.0964,0.2021,0.1365,2.7,57.2,6,1,0,2009,189900.0
PROP-00050,East,Social Rental,52.36184,4.932741,4.29,5,145.9,0.1425,20,0.7925,0.003737,3,0.4373,0.2871,0.1685,4.4,55.1,4,0,1,2005,311500.0
PROP-00051,West,Private Rental,52.362248,4.841073,6.05,4,123.7,0.9355,37,0.684,0.003639,4,0.2638,0.6113,0.1123,7.9,58.7,3,1,1,1988,590400.0
PROP-00052,North,Social Rental,52.387621,4.900473,2.05,4,108.4,0.6587,20,0.5103,0.003162,3,0.6938,0.4317,0.3409,4.3,56.6,3,1,1,2024,285100.0
PROP-00053,East,Home Ownership,52.375478,4.970311,8.38,4,103.3,0.8734,69,0.7022,0.003527,4,0.0903,0.2062,0.2375,6.2,63.8,4,1,0,1956,711100.0
PROP-00054,East,Home Ownership,52.379073,4.89978,1.14,4,137.5,0.1635,14,0.7146,0.003626,4,0.7869,0.0666,0.1573,2.4,49.3,4,1,1,2019,438500.0
PROP-00055,West,Social Rental,52.381248,4.834211,6.86,4,141.0,0.8057,26,0.5793,0.003741,3,0.1385,0.4091,0.2012,6.3,58.1,3,1,1,1999,392500.0
PROP-00056,Center,Home Ownership,52.371672,4.903146,0.92,5,129.9,0.4547,21,0.9523,0.004218,5,0.9123,0.2024,0.2888,6.8,51.2,4,0,0,2009,891300.0
PROP-00057,East,Home Ownership,52.378266,4.961367,7.42,3,92.9,0.6589,15,0.5897,0.003981,3,0.1042,0.3633,0.3836,6.2,57.9,3,0,0,2023,558200.0
PROP-00058,West,Social Rental,52.376446,4.821484,8.19,2,52.7,0.3246,13,0.7242,0.003334,3,0.0,0.2099,0.2154,4.2,70.1,3,1,0,2018,228900.0
PROP-00059,South,Social Rental,52.358408,4.854988,4.62,3,87.9,0.5336,28,0.8276,0.004456,4,0.4501,0.3156,0.1675,5.1,52.0,3,1,1,1999,370500.0
PROP-00060,South,Private Rental,52.358174,4.893915,1.32,3,66.8,0.7068,3,0.8241,0.004754,4,0.8513,0.1594,0.3427,6.1,43.0,2,0,1,2024,591700.0
PROP-00061,South,Social Rental,52.340764,4.854753,5.52,4,104.0,0.9,13,0.7225,0.004468,4,0.4346,0.199,0.2085,5.0,73.2,3,1,0,2024,439200.0
PROP-00062,Center,Social Rental,52.384695,4.924221,3.63,3,90.5,0.2319,14,0.9198,0.004624,4,0.4026,0.013,0.2772,8.7,54.7,3,1,1,2010,376200.0
PROP-00063,South,Social Rental,52.33359,4.868313,5.01,2,62.3,0.5191,2,0.7987,0.003733,4,0.457,0.0009,0.2199,8.1,45.3,3,0,0,2024,310800.0
PROP-00064,East,Social Rental,52.353112,4.951329,6.53,3,102.3,0.0967,17,0.5528,0.00384,3,0.1914,0.417,0.199,7.3,52.1,4,1,0,2022,254300.0
PROP-00065,South,Social Rental,52.342704,4.865852,4.43,2,47.9,0.937,24,0.6917,0.003554,4,0.6952,0.2991,0.2756,6.4,53.1,3,0,0,2016,356400.0
PROP-00066,Center,Social Rental,52.355745,4.888646,1.73,4,116.8,0.3461,111,0.9358,0.005239,4,0.7184,0.3795,0.0,7.1,45.5,3,1,1,1945,381100.0
PROP-00067,East,Home Ownership,52.353092,4.941161,5.46,4,84.2,0.1057,30,0.7725,0.004366,3,0.467,0.3223,0.1495,4.6,53.5,6,1,0,2024,371000.0
PROP-00068,East,Private Rental,52.379288,4.921208,3.09,5,124.7,0.7249,6,0.7466,0.003905,4,0.6904,0.2955,0.1691,4.9,51.1,1,0,1,2024,615800.0
PROP-00069,South,Social Rental,52.339816,4.890427,3.39,2,69.5,0.548,18,0.7053,0.004067,3,0.5591,0.5568,0.0104,3.8,63.5,4,0,0,2009,317800.0
PROP-00070,South,Social Rental,52.337488,4.87841,4.05,3,95.3,0.6594,67,0.7288,0.004251,3,0.4998,0.3133,0.3817,5.9,53.8,3,0,1,1957,326300.0
PROP-00071,West,Home Ownership,52.358834,4.822511,8.14,3,77.7,0.7747,32,0.6575,0.004099,3,0.0,0.5252,0.1563,4.9,71.9,6,0,1,2024,520700.0
PROP-00072,North,Social Rental,52.417467,4.942387,7.45,4,92.0,0.8118,32,0.4332,0.003322,2,0.0,0.1078,0.2795,4.7,56.0,4,0,0,1995,277600.0
PROP-00073,West,Home Ownership,52.371023,4.836992,6.44,5,152.4,0.4605,55,0.653,0.004152,3,0.0653,0.36,0.1168,4.5,62.6,5,0,0,1976,576700.0
PROP-00074,West,Private Rental,52.40622,4.845916,6.77,4,87.0,0.58,18,0.6663,0.003522,4,0.1113,0.3391,0.0269,6.3,70.1,2,1,0,2014,447600.0
PROP-00075,Center,Home Ownership,52.360581,4.906669,1.66,5,114.0,0.3679,11,0.8902,0.005018,4,0.8144,0.4399,0.0,4.4,36.1,4,1,0,2019,894100.0
PROP-00076,East,Social Rental,52.387336,4.973959,8.97,3,75.3,0.6765,49,0.755,0.004335,3,0.0,0.4023,0.0,6.7,59.5,5,1,1,1984,308400.0
PROP-00077,North,Home Ownership,52.389367,4.891565,2.18,4,114.2,0.7857,3,0.4202,0.003827,4,0.8814,0.3267,0.0756,4.7,35.2,1,0,1,2024,696100.0
PROP-00078,Center,Social Rental,52.363608,4.898702,0.82,3,94.3,0.4369,39,0.9484,0.004171,4,0.8402,0.353,0.1746,5.5,39.5,4,0,1,1988,395800.0
PROP-00079,West,Social Rental,52.374744,4.82655,7.62,2,37.8,0.0627,71,0.6707,0.004021,3,0.0547,0.3774,0.0075,4.5,66.6,4,0,0,1988,175900.0
PROP-00080,Center,Social Rental,52.354949,4.887318,1.88,2,57.9,0.8506,24,0.8964,0.004546,4,0.9467,0.2876,0.0605,5.1,48.3,5,0,0,2006,393200.0
PROP-00081,East,Private Rental,52.36525,4.926896,3.58,5,151.8,0.7296,1,0.5861,0.003855,3,0.5648,0.5437,0.2288,5.1,49.8,3,0,1,2023,634800.0
PROP-00082,East,Home Ownership,52.346242,4.922478,4.03,4,125.4,0.8221,14,0.5035,0.00406,3,0.6328,0.4782,0.2544,6.6,51.5,3,1,0,2024,874500.0
PROP-00083,North,Social Rental,52.394867,4.903974,2.93,2,48.2,0.894,31,0.615,0.00318,3,0.7744,0.3881,0.2643,2.9,54.3,7,1,1,1993,247900.0
PROP-00084,West,Private Rental,52.365336,4.850736,4.94,5,148.2,0.9095,23,0.4436,0.00375,4,0.3733,0.0,0.1352,6.7,59.2,4,1,1,2002,613300.0
PROP-00085,West,Social Rental,52.364921,4.861909,3.72,3,112.7,0.8414,19,0.5277,0.003897,3,0.6543,0.2303,0.2191,5.7,50.4,3,0,1,2015,349200.0
PROP-00086,South,Private Rental,52.352344,4.856299,4.72,5,149.1,0.9356,43,0.8467,0.004282,4,0.3131,0.3225,0.0,2.8,55.6,5,0,1,1986,699200.0
PROP-00087,North,Home Ownership,52.413207,4.92277,5.7,3,95.6,0.9108,42,0.3752,0.003826,2,0.3682,0.4551,0.4306,4.2,53.6,3,1,1,1991,480900.0
PROP-00088,North,Social Rental,52.387186,4.91771,3.16,3,71.8,0.8923,6,0.5087,0.003305,3,0.5581,0.2899,0.2143,5.0,60.6,1,1,0,2024,299100.0
PROP-00089,East,Home Ownership,52.332561,4.952202,7.59,3,88.6,0.4346,44,0.7262,0.004484,4,0.2154,0.4113,0.1991,3.1,58.2,5,0,0,1989,368200.0
PROP-00090,East,Social Rental,52.363734,4.936682,4.68,3,68.8,0.4725,1,0.4846,0.004136,3,0.3257,0.1996,0.1654,5.5,63.0,2,1,1,2024,295900.0
PROP-00091,East,Social Rental,52.35807,4.934257,4.55,3,89.5,0.8742,20,0.5933,0.003546,2,0.2723,0.3401,0.251,3.1,61.3,4,0,0,2004,335800.0
PROP-00092,South,Social Rental,52.341738,4.868934,4.27,4,103.1,0.1145,14,0.7554,0.004656,4,0.5177,0.2748,0.3222,8.0,62.9,2,0,0,2019,329500.0
PROP-00093,Center,Home Ownership,52.349192,4.874413,3.25,2,60.2,0.422,10,0.8761,0.004528,4,0.4911,0.4899,0.0561,8.5,54.9,4,1,0,2017,458000.0
PROP-00094,West,Home Ownership,52.366953,4.807252,9.75,4,118.0,0.3712,27,0.5211,0.004245,3,0.0,0.1553,0.1434,5.3,63.2,4,1,1,2002,560600.0
PROP-00095,South,Social Rental,52.325799,4.879525,5.2,4,84.9,0.1406,19,0.8237,0.004202,4,0.3393,0.2867,0.1306,5.9,68.2,3,0,1,2024,308500.0
PROP-00096,East,Home Ownership,52.346524,4.913247,3.3,3,95.1,0.5414,5,0.67,0.003934,4,0.4811,0.169,0.0386,4.2,52.1,1,0,1,2024,598400.0
PROP-00097,East,Social Rental,52.378212,4.97525,8.95,3,78.9,0.2013,15,0.5298,0.004076,4,0.0,0.3147,0.227,4.9,65.1,3,0,0,2010,242000.0
PROP-00098,East,Home Ownership,52.360882,4.944595,5.6,4,129.9,0.2858,6,0.6692,0.003274,5,0.2734,0.4791,0.1496,6.1,68.1,3,1,1,2024,653300.0
PROP-00099,North,Social Rental,52.397547,4.920684,4.18,3,69.3,0.9264,1,0.5399,0.003784,2,0.5181,0.2543,0.0444,3.6,60.3,1,0,1,2024,299100.0
PROP-00100,South,Home Ownership,52.346181,4.892882,2.65,3,94.6,0.7534,43,0.816,0.00397,4,0.5862,0.2964,0.0,3.8,48.8,4,0,0,1981,678500.0
PROP-00101,South,Private Rental,52.340014,4.865292,4.69,4,78.0,0.8535,1,0.719,0.003969,3,0.4973,0.2709,0.1433,3.2,59.5,3,0,1,2024,614300.0
PROP-00102,East,Home Ownership,52.350129,4.979375,9.62,4,89.1,0.0718,34,0.7175,0.004168,3,0.0,0.1267,0.1978,4.4,71.4,5,1,1,1999,199700.0
PROP-00103,Center,Home Ownership,52.370185,4.909852,1.65,3,71.0,0.1019,13,0.8819,0.004762,4,0.8133,0.4276,0.1435,7.6,47.5,2,0,0,2015,445600.0
PROP-00104,West,Social Rental,52.386115,4.843447,6.0,4,99.0,0.9508,36,0.6163,0.003715,3,0.2646,0.3612,0.18,1.0,57.1,5,1,1,1992,346200.0
PROP-00105,East,Home Ownership,52.368921,4.945409,5.6,3,104.3,0.6574,19,0.5643,0.003534,4,0.3381,0.1647,0.0856,7.2,46.7,4,1,0,2008,570500.0
PROP-00106,Center,Social Rental,52.349074,4.897142,2.33,4,99.8,0.0147,14,0.7089,0.004734,3,0.7004,0.3023,0.2246,6.9,65.8,3,0,0,2017,354000.0
PROP-00107,Center,Social Rental,52.372596,4.907112,1.37,2,57.2,0.2656,1,0.9281,0.004965,4,0.6814,0.3247,0.1661,7.3,49.7,2,1,1,2024,324900.0
PROP-00108,South,Social Rental,52.360058,4.878064,2.18,3,106.3,0.0578,94,0.7841,0.004138,3,0.6613,0.2103,0.2157,4.8,52.5,4,0,0,1934,258600.0
PROP-00109,South,Social Rental,52.356956,4.875788,2.58,3,68.9,0.8901,36,0.7132,0.004827,3,0.6963,0.6035,0.1758,6.0,47.3,6,1,1,1993,369300.0
PROP-00110,East,Social Rental,52.370374,4.94668,5.74,2,72.9,0.9606,6,0.6765,0.003873,2,0.2113,0.3236,0.2095,5.6,60.9,3,0,0,2024,334000.0
PROP-00111,South,Home Ownership,52.333026,4.912478,4.54,3,69.9,0.6406,32,0.8987,0.004307,4,0.4325,0.1124,0.2475,7.6,50.5,6,1,1,1992,605100.0
PROP-00112,South,Social Rental,52.337036,4.855806,5.68,4,106.3,0.9184,90,0.8754,0.004022,4,0.1315,0.5068,0.0256,5.2,51.6,7,1,1,1936,379900.0
PROP-00113,South,Social Rental,52.335116,4.892354,3.88,5,148.7,0.5816,17,0.7883,0.00393,3,0.4957,0.4382,0.1597,8.5,41.2,3,1,1,2024,458600.0
PROP-00114,Center,Social Rental,52.369855,4.895201,0.03,3,81.5,0.8109,54,1.0,0.004722,4,1.0,0.3164,0.2863,6.1,31.7,3,1,0,1970,437400.0
PROP-00115,Center,Private Rental,52.356953,4.875455,2.61,3,108.0,0.5007,39,0.8281,0.0047,4,0.5014,0.1984,0.3033,5.5,46.5,5,0,0,2024,569500.0
PROP-00116,East,Social Rental,52.370545,4.929228,3.8,3,97.9,0.7093,5,0.6955,0.004032,3,0.6043,0.4456,0.2864,5.5,45.0,2,1,0,2024,357500.0
PROP-00117,East,Home Ownership,52.367761,4.948959,5.99,5,153.7,0.8617,9,0.562,0.004132,4,0.2964,0.5512,0.1893,6.5,48.3,2,0,1,2015,968700.0
PROP-00118,West,Social Rental,52.374277,4.848186,5.22,2,70.4,0.7049,50,0.6032,0.003729,3,0.3721,0.508,0.0754,4.8,46.5,7,0,0,1976,254700.0
PROP-00119,West,Private Rental,52.362855,4.833353,6.89,4,102.5,0.6438,10,0.4782,0.004134,3,0.2923,0.2196,0.0,3.6,68.7,2,1,0,2024,508100.0
PROP-00120,South,Private Rental,52.358244,4.871094,2.96,2,51.5,0.6389,9,0.7862,0.004654,3,0.5661,0.5552,0.042,3.8,44.3,1,1,1,2024,532600.0
PROP-00121,Center,Private Rental,52.362047,4.88516,1.4,4,95.6,0.8118,31,0.9849,0.004156,5,0.9782,0.1316,0.0499,8.5,50.0,7,1,1,2021,757300.0
PROP-00122,South,Home Ownership,52.359972,4.893045,1.13,4,113.0,0.4082,1,0.6501,0.004167,4,0.8197,0.3631,0.0713,6.0,49.8,1,1,1,2024,726900.0
PROP-00123,East,Private Rental,52.349493,4.952415,6.77,4,127.2,0.5457,6,0.5948,0.003725,3,0.1474,0.1926,0.2718,7.7,53.9,3,0,0,2024,522500.0
PROP-00124,South,Private Rental,52.342873,4.905506,3.23,4,106.2,0.7607,2,0.7923,0.00443,3,0.6249,0.4216,0.1426,7.9,56.6,1,0,1,2024,663200.0
PROP-00125,East,Social Rental,52.358405,4.955473,6.83,3,85.0,0.0219,10,0.5948,0.003852,4,0.02,0.422,0.1565,5.1,65.0,4,0,1,2017,227000.0
PROP-00126,East,Social Rental,52.369081,4.901394,0.72,3,79.6,0.8286,46,0.5584,0.003591,4,0.9113,0.4597,0.0,3.4,46.5,7,0,0,1997,325300.0
PROP-00127,East,Social Rental,52.370684,4.923325,3.15,2,54.2,0.6939,7,0.7235,0.003626,3,0.5359,0.1112,0.164,5.0,70.7,1,1,1,2019,299200.0
PROP-00128,East,Home Ownership,52.370196,4.902342,0.82,4,128.4,0.5409,35,0.65,0.003611,4,0.874,0.3823,0.4563,5.9,39.3,4,1,1,2000,672600.0
PROP-00129,East,Social Rental,52.349587,4.934606,4.95,4,113.1,0.069,19,0.7671,0.004299,3,0.5576,0.3558,0.2367,5.4,64.7,3,0,0,2007,285400.0
PROP-00130,East,Home Ownership,52.362785,4.927432,3.69,5,103.3,0.9018,6,0.7253,0.004149,3,0.5582,0.216,0.1667,4.5,50.0,3,0,1,2020,889700.0
PROP-00131,Center,Social Rental,52.362743,4.8553,4.48,4,85.7,0.6567,37,0.829,0.00444,4,0.4999,0.4003,0.0719,7.1,57.6,6,0,0,1994,403100.0
PROP-00132,East,Private Rental,52.38247,4.927028,3.82,2,74.1,0.9452,41,0.6933,0.004433,4,0.5542,0.5797,0.3232,5.4,42.9,6,1,1,1986,454000.0
PROP-00133,East,Social Rental,52.365187,4.956241,6.82,2,59.3,0.077,35,0.7324,0.003803,4,0.0385,0.4335,0.2106,6.3,49.2,4,0,1,1998,200800.0
PROP-00134,West,Private Rental,52.364259,4.852827,4.72,2,60.1,0.5442,36,0.5632,0.00378,3,0.4586,0.2193,0.203,3.4,63.8,7,0,1,2011,372300.0
PROP-00135,West,Home Ownership,52.380631,4.81236,9.25,2,58.9,0.0949,120,0.649,0.003495,3,0.0,0.2798,0.2351,7.4,72.2,4,1,0,1913,139800.0
PROP-00136,West,Social Rental,52.387857,4.876361,2.87,3,97.2,0.8644,26,0.5606,0.003394,3,0.7122,0.3239,0.1702,6.1,39.0,5,0,1,2014,338100.0
PROP-00137,Center,Private Rental,52.371694,4.930175,3.91,4,88.8,0.6866,85,1.0,0.004501,5,0.6455,0.1886,0.1018,8.8,66.3,4,0,1,1950,639500.0
PROP-00138,Center,Social Rental,52.376277,4.918956,2.75,4,130.9,0.8382,48,1.0,0.004169,4,0.4909,0.3808,0.1781,8.1,36.6,3,1,1,1976,522900.0
PROP-00139,North,Home Ownership,52.413355,4.889649,4.85,5,154.7,0.8861,6,0.5216,0.003311,3,0.4759,0.395,0.2646,3.7,53.1,3,0,0,2024,725200.0
PROP-00140,South,Social Rental,52.331041,4.848862,6.7,2,72.1,0.1675,4,0.6438,0.004061,3,0.2673,0.1478,0.0837,5.7,53.8,1,0,1,2022,281400.0
PROP-00141,South,Social Rental,52.339623,4.864728,4.76,2,50.8,0.5634,48,0.9954,0.004305,3,0.3954,0.0336,0.1653,5.0,61.8,3,1,1,1988,312500.0
PROP-00142,West,Private Rental,52.368406,4.832546,6.93,4,135.8,0.9201,120,0.5053,0.00365,4,0.1257,0.0,0.0187,4.6,67.2,7,1,1,1910,484200.0
PROP-00143,South,Social Rental,52.36285,4.909267,1.77,3,94.6,0.6447,7,0.6866,0.004265,3,0.7197,0.1744,0.1021,5.4,44.2,3,0,1,2018,379900.0
PROP-00144,South,Home Ownership,52.35,4.882091,2.64,5,142.9,0.7959,5,0.7254,0.003997,4,0.7236,0.3444,0.22,8.3,55.8,1,1,1,2019,1082600.0
PROP-00145,South,Social Rental,52.339672,4.885259,3.54,3,69.6,0.4663,42,0.5602,0.00405,3,0.6969,0.2422,0.221,6.5,35.0,6,0,1,1988,295500.0
PROP-00146,East,Social Rental,52.379396,4.936064,4.68,2,53.9,0.025,17,0.5785,0.003756,3,0.5376,0.2269,0.3615,4.6,57.0,3,0,0,2024,202200.0
PROP-00147,Center,Social Rental,52.364645,4.896765,0.63,4,90.2,0.2344,12,0.9273,0.004576,4,0.9432,0.5367,0.2783,8.3,42.6,5,0,0,2015,372500.0
PROP-00148,Center,Home Ownership,52.381895,4.913691,2.46,4,100.5,0.9901,11,0.8561,0.004254,4,0.6458,0.1268,0.0286,7.4,49.5,3,1,1,2023,1173200.0
PROP-00149,East,Home Ownership,52.353613,4.971453,8.68,4,138.6,0.8846,67,0.5615,0.003753,3,0.0,0.1415,0.3368,5.1,65.2,5,1,1,1960,771100.0
PROP-00150,South,Social Rental,52.341474,4.861844,4.85,5,155.7,0.344,39,0.8448,0.004135,4,0.4398,0.376,0.1963,4.9,46.5,7,1,1,1994,412600.0
PROP-00151,West,Social Rental,52.373835,4.822865,8.02,2,72.7,0.568,10,0.4474,0.003542,3,0.1865,0.3835,0.0347,6.0,48.7,3,0,0,2020,251800.0
